FILENAME	ACTION	TAG	VALUE	FORMAT
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	ms.tgt_pltfrm	""	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	ms.topic	"article"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	dev_langs	["C++"]	dash
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	ms.assetid	9cfa8896-ec10-4e77-855a-3135c40d7d2a	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	caps.latest.revision	5	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	author	"corob-msft"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	ms.author	"corob"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	manager	"ghogen"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-directives.md	IGNORE	translation.priority.ht	["cs-cz", "de-de", "es-es", "fr-fr", "it-it", "ja-jp", "ko-kr", "pl-pl", "pt-br", "ru-ru", "tr-tr", "zh-cn", "zh-tw"]	dash
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	title	"ARM Assembler Reference | Microsoft Docs"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.custom	""	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.date	"11/04/2016"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.reviewer	""	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.suite	""	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.technology	["cpp-tools"]	dash
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.tgt_pltfrm	""	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.topic	"article"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	dev_langs	["C++"]	dash
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.assetid	f8a076cc-9627-4328-a34a-9c44f7a3aab1	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	caps.latest.revision	13	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	author	"corob-msft"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	ms.author	"corob"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	manager	"ghogen"	single
C:\gh\Microsoft\vcppdocs\docs\assembler\arm\arm-assembler-reference.md	IGNORE	translation.priority.ht	["cs-cz", "de-de", "es-es", "fr-fr", "it-it", "ja-jp", "ko-kr", "pl-pl", "pt-br", "ru-ru", "tr-tr", "zh-cn", "zh-tw"]	dash
